,Player Name,Posterior Mean for Goals Parameter,Average Number of Goals,Posterior Mean for Attempts Parameter,Average Number of Attempts,Posterior Mean for Corners Parameter,Average Number of Corners
103,Lukáš Haraslín,0.002878613,0,0.005345145,0,-0.002764109,0
104,Luuk de Jong,0.013145683,0,0.005303777,0,0.004227997,0
105,Lyndon Dykes,0.00576417,0,0.004691021,2,-0.009545139,0
106,Marcus Berg,0.006653944,0,0.002056879,0,0.000617284,0
107,Marcus Forss,0.003624019,0,0.004645035,0,-0.004604527,0
108,Marcus Rashford,0.013785253,0,0.00066527,0,0.007041001,0
109,Marcus Thuram,0.005640506,0,0.01081988,0,0.007392068,0
110,Mario Gavranovic,0.003792018,1,0.004522999,1,0.001948662,0
111,Mario Pašalic,0.004544296,1,0.006069512,1,0.00707038,1
112,Marko Arnautovic,0.010661898,1,0.005660729,3,0.001213783,0
113,Martin Braithwaite,0.007536834,1,0.004389935,3,0.014589605,0
114,Mason Mount,-0.007461439,0,0.008694107,2,-0.007378063,6
115,Matej Vydra,-0.011388254,0,0.002237728,0,-0.001764898,0
116,Matteo Pessina,0.00176831,2,0.006389137,2,0.008493194,0
117,Memphis Depay,0.000267358,2,0.007305229,4,-0.00417204,6
118,Michael Gregoritsch,-0.00604004,1,0.001901791,2,0.007082107,0
119,Michael Krmencík,0.003734,0,0.010806428,2,0.009409466,0
120,Michal Duriš,0.015500831,0,0.005113625,0,0.000216266,0
121,Michy Batshuayi,0.012547288,0,0.00508929,0,0.00257024,0
122,Mikel Oyarzabal,0.008706285,1,0.006829845,4,0.009890045,2
123,Mikkel Damsgaard,-0.001555961,2,0.003761579,4,-0.003581971,0
124,Milan Ristovski,0.004656391,0,0.000674294,0,0.001415054,0
125,Mislav Oršic,-0.000242533,1,-0.002415352,1,0.011727384,0
126,Nacer Chadli,0.011515343,0,0.003957207,1,0.005042787,0
127,Nemanja Nikolic,0.009015758,0,-0.001182803,0,0.007950659,0
128,Nikola Vlašic,-0.000396525,1,0.010721232,1,0.002890159,0
129,Oleksandr Zubkov,0.005186976,0,0.003788352,0,-0.003450897,0
130,Olivier Giroud,0.007765987,0,0.004732717,1,-0.000479062,0
131,Ondrej Duda,-0.007981451,0,0.004539414,0,0.012679155,1
132,Ousmane Dembélé,0.013355206,0,0.003663299,0,0.007734077,0
133,Pablo Sarabia,0.009797602,2,0.004447814,4,0.0179965,4
134,Patrik Schick,0.01108241,5,0.007022062,9,0.008333068,0
135,Piotr Zielinski,-0.002705058,0,0.000244919,2,-0.005538453,4
136,Przemyslaw Frankowski,0.005046359,0,0.00180708,0,0.012132783,0
137,Przemyslaw Placheta,0.010471455,0,0.005345414,0,-0.000868337,0
138,Quincy Promes,0.010035032,0,0.000152616,0,0.008097103,0
139,Raheem Sterling,0.000831451,3,0.003281133,7,-0.001629157,0
140,Rifat Zhemaletdinov,-0.002817783,0,0.006461421,0,0.003611805,0
141,Robert Lewandowski,0.002713845,3,0.0038404,4,0.005332858,0
142,Róbert Mak,0.009099095,0,0.008035024,0,-0.001341164,1
143,Robin Lod,-0.010550479,0,-0.002046561,0,0.00908703,0
144,Robin Quaison,0.001768093,0,-3.53E-06,1,-0.010834371,0
145,Roland Sallai,-0.01731231,0,0.004421763,3,0.004899293,0
146,Roland Varga,0.002273194,0,-0.003836009,0,0.014966396,0
147,Roman Bezus,-0.00028584,0,-0.00057636,0,-0.004067383,0
148,Roman Yaremchuk,0.014821709,2,0.003104161,6,-0.000775114,0
149,Romelu Lukaku,0.001154798,4,-0.00329655,6,0.000656459,0
150,Ruben Vargas,-0.006557555,0,0.00266959,0,0.00905571,1
151,Ruslan Malinovskyi,0.004783974,0,0.00256455,4,0.009836793,4
152,Ryan Christie,-0.008982149,0,0.000661851,0,0.003453234,0
153,Ryan Fraser,0.002750461,0,0.000557972,0,0.000556429,0
154,Sasa Kalajdzic,0.006405207,1,0.003865122,2,-0.008166496,0
155,Serge Gnabry,0.010651606,0,0.002661268,1,-0.000665972,0
156,Steven Berghuis,0.00898514,0,0.003509942,0,0.004358238,0
157,Steven Zuber,0.000333612,0,0.00082413,4,-0.007012906,0
158,Szabolcs Schön,-0.006422445,0,-0.002197441,0,-0.001413139,0
159,Tamás Cseri,0.000496139,0,0.003050549,0,-0.002717472,0
160,Teemu Pukki,0.005511627,0,0.00262551,0,0.000482893,0
161,Thomas Lemar,0.012510913,0,0.005061019,0,-0.008236047,0
162,Thomas Müller,-0.012358681,0,-0.002623055,1,0.000310323,0
163,Thorgan Hazard,0.007788383,2,-0.001558156,3,0.002806821,0
164,Tihomir Kostadinov,0.003018871,0,0.007122378,0,0.009060444,0
165,Timo Werner,0.003794775,0,-0.003019477,1,0.0045465,0
166,Tomáš Pekhart,0.014133954,0,0.001025109,0,-0.001289401,0
167,Tomáš Suslov,0.003353576,0,0.004751696,0,-0.006829051,0
168,Tyler Roberts,0.021458591,0,0.001091266,0,0.000356964,0
169,Viktor Claesson,5.38E-05,1,0.004676573,1,0.002943804,0
170,Viktor Tsygankov,0.006321772,0,0.007448244,0,-0.00282599,0
171,Vladimír Weiss,0.002350947,0,0.010589797,0,-0.005030788,0
172,Vlatko Stojanovski,0.014687001,0,0.006519246,0,0.004691819,0
173,Wout Weghorst,0.003260303,1,0.003722864,2,0.002327314,0
174,Xherdan Shaqiri,0.007721929,3,0.00141694,5,0.002346577,8
175,Yannick Carrasco,0.001267912,0,0.004500953,0,0.005035312,1
176,Yussuf Poulsen,0.00036679,2,0.003498313,4,-0.005312532,0
